PATHOLOGY,AVG_AGE
Pathology16,52.083658
Pathology36,50.972163
Pathology53,51.795628
Pathology33,51.346232
Pathology32,50.633588
Pathology97,50.165236
Pathology49,50.607011
Pathology93,49.845238
Pathology40,53.765896
Pathology9,51.372549
Pathology90,52.479404
Pathology5,52.406054
Pathology63,51.703879
Pathology79,51.802481
Pathology27,51.722826
Pathology70,51.362197
Pathology24,52.591314
Pathology43,51.983553
Pathology83,51.525573
Pathology11,52.318136
Pathology31,53.303520
Pathology76,52.735768
Pathology64,52.239407
Pathology56,51.395264
Pathology86,52.264529
Pathology92,53.445483
Pathology78,51.152344
Pathology18,51.649398
Pathology66,51.387856
Pathology71,52.167932
Pathology75,51.850897
Pathology19,50.432056
Pathology37,51.507692
Pathology87,51.935649
Pathology94,51.071358
Pathology85,51.335646
Pathology44,52.067005
Pathology58,52.159451
Pathology3,52.272183
Pathology6,51.301383
Pathology23,52.816462
Pathology62,50.681901
Pathology38,51.413333
Pathology17,51.301066
Pathology34,50.743827
Pathology14,50.656095
Pathology8,50.283105
Pathology81,51.653805
Pathology54,50.669594
Pathology73,51.336245
Pathology77,51.885806
Pathology89,51.150127
Pathology74,49.917671
Pathology2,50.123120
Pathology42,52.295543
Pathology52,52.540999
Pathology47,51.114411
Pathology98,50.432836
Pathology96,51.692231
Pathology29,51.946479
Pathology28,51.131923
Pathology1,51.454179
Pathology35,51.074627
Pathology99,51.775553
Pathology41,52.926014
Pathology13,52.432702
Pathology4,52.043478
Pathology25,50.598563
Pathology91,52.141684
Pathology57,52.522664
Pathology26,51.561850
Pathology15,52.477842
Pathology45,50.499106
Pathology30,52.011892
Pathology84,51.346997
Pathology95,51.972545
Pathology72,50.653734
Pathology60,51.472277
Pathology20,51.720721
Pathology48,52.588119
Pathology51,52.264916
Pathology88,52.781344
Pathology21,51.561976
Pathology82,51.540206
Pathology10,50.925417
Pathology12,49.752488
Pathology69,51.115346
Pathology39,52.209452
Pathology7,51.478938
Pathology61,52.670311
Pathology67,51.500000
Pathology50,52.702444
Pathology55,52.856704
Pathology22,51.204629
Pathology80,51.848297
Pathology46,51.565844
Pathology65,53.058243
Pathology59,51.466743
Pathology68,52.032438
