PATHOLOGY,DOCTOR_ID,NB_DIAGNOSTICS
Pathology47,2,30
Pathology40,2,30
Pathology83,2,30
Pathology95,2,30
Pathology88,2,30
Pathology1,2,30
Pathology4,2,10
Pathology37,3,10
Pathology56,3,10
Pathology31,3,10
Pathology17,3,20
Pathology45,3,10
Pathology73,3,10
Pathology10,4,10
Pathology3,5,20
Pathology97,7,30
Pathology36,9,20
Pathology38,9,10
Pathology71,17,40
Pathology94,25,20
Pathology6,28,30
Pathology68,43,20
Pathology42,7,10
Pathology48,7,30
Pathology84,4,10
Pathology51,21,10
Pathology20,11,20
Pathology82,26,30
Pathology16,52,20
Pathology57,75,10
Pathology90,7,20
Pathology43,25,20
Pathology16,24,10
Pathology26,5,10
Pathology68,11,40
Pathology63,15,10
Pathology98,2,60
Pathology58,74,10
Pathology75,90,10
Pathology37,2,30
Pathology3,33,30
Pathology11,4,20
Pathology79,9,20
Pathology10,3,40
Pathology13,7,20
Pathology70,28,20
Pathology90,9,10
Pathology77,26,10
Pathology80,3,30
Pathology9,17,30
Pathology28,33,10
Pathology55,67,20
Pathology63,18,20
Pathology49,12,20
Pathology23,26,30
Pathology98,28,10
Pathology8,7,10
Pathology29,11,40
Pathology86,3,10
Pathology12,21,10
Pathology49,33,30
Pathology50,57,10
Pathology83,75,40
Pathology58,8,20
Pathology52,2,30
Pathology6,12,20
Pathology71,18,10
Pathology56,26,20
Pathology90,12,10
Pathology29,16,60
Pathology99,9,20
Pathology59,5,10
Pathology18,9,10
Pathology10,11,10
Pathology13,11,10
Pathology77,24,10
Pathology10,25,20
Pathology3,4,10
Pathology65,5,30
Pathology29,25,30
Pathology31,28,40
Pathology52,28,20
Pathology32,75,10
Pathology48,2,20
Pathology17,9,10
Pathology40,3,20
Pathology31,24,30
Pathology45,5,20
Pathology90,25,20
Pathology89,31,20
Pathology4,92,30
Pathology74,11,10
Pathology41,5,20
Pathology17,5,40
Pathology6,21,30
Pathology35,31,10
Pathology94,3,20
Pathology17,4,20
Pathology87,4,10
Pathology25,4,30
Pathology56,5,30
Pathology92,7,30
Pathology85,52,20
Pathology4,4,20
Pathology43,4,30
Pathology12,4,20
Pathology11,5,20
Pathology83,11,40
Pathology46,12,20
Pathology2,25,30
Pathology42,92,20
Pathology94,50,10
Pathology53,17,20
Pathology80,16,10
Pathology41,18,10
Pathology12,17,20
Pathology66,3,20
Pathology55,21,10
Pathology56,12,10
Pathology75,17,20
Pathology76,25,10
Pathology64,26,10
Pathology42,43,10
Pathology16,59,10
Pathology1,17,20
Pathology9,28,30
Pathology61,3,20
Pathology58,18,20
Pathology90,24,40
Pathology29,62,20
Pathology76,97,20
Pathology50,5,30
Pathology26,16,10
Pathology22,16,20
Pathology43,37,40
Pathology2,17,30
Pathology19,72,10
Pathology59,33,30
Pathology74,92,10
Pathology95,97,10
Pathology34,97,30
Pathology48,13,20
Pathology72,37,20
Pathology45,57,20
Pathology3,74,10
Pathology65,30,30
Pathology51,30,20
Pathology19,18,10
Pathology34,5,20
Pathology76,17,20
Pathology27,16,20
Pathology31,25,10
Pathology19,16,20
Pathology75,52,30
Pathology57,16,20
Pathology74,26,40
Pathology87,61,30
Pathology91,25,30
Pathology35,28,30
Pathology23,33,30
Pathology61,26,20
Pathology48,16,20
Pathology48,33,10
Pathology41,42,20
Pathology43,42,40
Pathology22,61,30
Pathology71,13,10
Pathology20,15,20
Pathology8,74,30
Pathology2,90,30
Pathology8,22,40
Pathology19,47,10
Pathology38,68,20
Pathology54,95,30
Pathology47,59,20
Pathology25,28,30
Pathology16,45,20
Pathology40,33,10
Pathology59,62,10
Pathology7,13,20
Pathology86,20,30
Pathology24,67,10
Pathology42,53,10
Pathology28,6,40
Pathology91,82,30
Pathology10,73,20
Pathology60,12,40
Pathology11,97,30
Pathology90,15,40
Pathology1,6,30
Pathology18,7,30
Pathology57,2,20
Pathology3,3,30
Pathology94,39,20
Pathology69,7,30
Pathology78,57,10
Pathology56,28,10
Pathology27,2,10
Pathology95,7,20
Pathology4,25,30
Pathology74,12,20
Pathology39,17,10
Pathology14,18,30
Pathology13,26,10
Pathology98,43,20
Pathology23,25,30
Pathology17,92,10
Pathology9,7,20
Pathology78,24,20
Pathology91,26,10
Pathology43,24,20
Pathology90,4,20
Pathology89,5,10
Pathology91,15,20
Pathology26,43,20
Pathology40,18,10
Pathology45,42,20
Pathology15,43,10
Pathology49,78,30
Pathology50,33,40
Pathology20,42,10
Pathology4,43,40
Pathology57,43,20
Pathology66,78,20
Pathology2,97,20
Pathology24,15,40
Pathology72,57,20
Pathology95,50,40
Pathology29,22,10
Pathology86,17,30
Pathology77,21,10
Pathology60,57,30
Pathology65,9,30
Pathology9,74,10
Pathology4,12,30
Pathology46,16,10
Pathology40,17,20
Pathology60,31,30
Pathology58,42,40
Pathology74,19,20
Pathology59,50,30
Pathology5,12,60
Pathology14,21,10
Pathology37,25,30
Pathology20,28,10
Pathology90,28,20
Pathology7,31,30
Pathology92,31,40
Pathology20,7,30
Pathology54,5,10
Pathology20,9,20
Pathology32,11,20
Pathology96,78,20
Pathology96,24,20
Pathology27,5,20
Pathology40,9,10
Pathology8,9,10
Pathology40,31,10
Pathology16,33,10
Pathology81,52,30
Pathology36,72,30
Pathology44,9,20
Pathology20,17,30
Pathology10,18,20
Pathology57,21,20
Pathology93,24,20
Pathology7,28,30
Pathology25,31,20
Pathology49,28,40
Pathology98,9,40
Pathology88,39,30
Pathology62,31,30
Pathology35,33,10
Pathology82,33,30
Pathology86,42,20
Pathology31,42,10
Pathology9,42,30
Pathology75,43,10
Pathology84,52,30
Pathology24,61,20
Pathology45,61,20
Pathology81,61,20
Pathology33,61,10
Pathology25,61,50
Pathology58,62,20
Pathology55,62,10
Pathology47,62,30
Pathology36,67,20
Pathology25,67,10
Pathology45,75,40
Pathology35,75,10
Pathology15,97,20
Pathology46,97,40
Pathology86,97,20
Pathology30,13,30
Pathology61,13,10
Pathology12,13,10
Pathology84,15,30
Pathology41,15,30
Pathology34,15,10
Pathology98,37,10
Pathology9,37,10
Pathology46,37,10
Pathology28,37,20
Pathology91,57,10
Pathology89,72,20
Pathology18,74,20
Pathology5,74,20
Pathology88,58,30
Pathology17,58,10
Pathology97,59,10
Pathology32,59,40
Pathology46,19,10
Pathology3,20,10
Pathology10,20,20
Pathology14,20,20
Pathology91,39,20
Pathology83,39,20
Pathology67,50,20
Pathology52,90,20
Pathology81,90,10
Pathology62,90,10
Pathology57,22,10
Pathology46,22,40
Pathology1,38,10
Pathology2,47,30
Pathology15,66,20
Pathology8,66,10
Pathology38,66,10
Pathology90,68,10
Pathology14,30,30
Pathology95,45,10
Pathology89,93,30
Pathology4,93,10
Pathology74,97,20
Pathology82,72,30
Pathology34,74,20
Pathology29,74,20
Pathology16,58,10
Pathology43,39,10
Pathology89,66,20
Pathology49,95,40
Pathology46,62,30
Pathology54,18,10
Pathology70,31,50
Pathology37,21,20
Pathology38,26,20
Pathology18,33,10
Pathology61,43,30
Pathology71,75,20
Pathology53,92,20
Pathology70,15,10
Pathology7,15,40
Pathology8,72,40
Pathology95,74,20
Pathology28,74,20
Pathology48,59,20
Pathology47,39,30
Pathology65,50,20
Pathology54,66,40
Pathology15,93,10
Pathology13,72,20
Pathology43,20,10
Pathology55,38,20
Pathology7,75,30
Pathology98,90,20
Pathology79,27,20
Pathology43,45,20
Pathology34,8,30
Pathology75,41,10
Pathology54,44,30
Pathology74,49,10
Pathology77,53,30
Pathology49,53,40
Pathology50,60,10
Pathology25,60,10
Pathology99,55,10
Pathology5,55,60
Pathology4,55,20
Pathology79,55,30
Pathology12,55,10
Pathology64,85,50
Pathology53,85,20
Pathology91,6,20
Pathology41,6,10
Pathology40,23,50
Pathology96,48,10
Pathology57,70,20
Pathology24,71,10
Pathology17,71,20
Pathology24,14,40
Pathology7,14,10
Pathology21,14,30
Pathology75,32,10
Pathology65,34,20
Pathology1,34,30
Pathology10,34,20
Pathology76,36,20
Pathology5,36,30
Pathology75,64,20
Pathology67,79,30
Pathology59,83,20
Pathology52,56,20
Pathology9,89,10
Pathology22,98,20
Pathology94,98,20
Pathology81,91,20
Pathology84,43,40
Pathology40,43,40
Pathology90,61,40
Pathology65,75,10
Pathology12,75,10
Pathology21,92,10
Pathology57,15,40
Pathology11,72,40
Pathology2,74,40
Pathology34,59,20
Pathology17,20,30
Pathology50,50,20
Pathology13,90,20
Pathology8,38,40
Pathology45,38,10
Pathology3,40,20
Pathology2,66,20
Pathology46,29,20
Pathology46,91,30
Pathology30,62,20
Pathology20,72,30
Pathology18,19,10
Pathology66,39,10
Pathology39,50,30
Pathology20,20,30
Pathology80,68,10
Pathology37,30,20
Pathology19,45,20
Pathology33,45,20
Pathology17,45,30
Pathology38,41,20
Pathology45,41,30
Pathology25,53,50
Pathology61,55,20
Pathology19,13,30
Pathology25,13,20
Pathology4,72,20
Pathology67,59,40
Pathology23,19,20
Pathology30,19,20
Pathology30,50,20
Pathology97,40,40
Pathology58,40,10
Pathology80,66,10
Pathology6,93,10
Pathology66,20,20
Pathology40,20,20
Pathology15,38,10
Pathology59,8,20
Pathology5,49,10
Pathology78,53,10
Pathology32,10,10
Pathology80,63,30
Pathology82,29,20
Pathology21,32,20
Pathology83,34,20
Pathology2,100,30
Pathology19,100,40
Pathology63,65,40
Pathology64,65,10
Pathology1,77,20
Pathology87,79,30
Pathology81,79,20
Pathology56,46,40
Pathology37,89,10
Pathology81,51,10
Pathology9,43,10
Pathology8,75,10
Pathology10,78,40
Pathology80,15,10
Pathology44,15,20
Pathology75,37,20
Pathology25,19,40
Pathology55,39,50
Pathology58,50,30
Pathology90,14,10
Pathology83,46,20
Pathology41,50,20
Pathology30,66,30
Pathology20,68,10
Pathology42,68,10
Pathology91,95,50
Pathology30,30,20
Pathology92,30,10
Pathology64,30,40
Pathology99,93,20
Pathology51,93,30
Pathology98,44,20
Pathology73,60,20
Pathology9,22,20
Pathology5,88,10
Pathology13,18,10
Pathology77,58,20
Pathology95,38,20
Pathology29,30,30
Pathology20,99,20
Pathology64,55,30
Pathology84,85,20
Pathology87,86,30
Pathology83,88,40
Pathology64,88,30
Pathology54,88,10
Pathology4,88,10
Pathology55,69,20
Pathology71,6,10
Pathology37,6,20
