PATHOLOGY,NUM_ROOMS
Pathology40,70
Pathology83,114
Pathology95,107
Pathology88,112
Pathology37,74
Pathology31,76
Pathology17,90
Pathology45,84
Pathology41,54
Pathology79,118
Pathology16,80
Pathology6,75
Pathology10,64
Pathology48,72
Pathology20,73
Pathology77,103
Pathology55,70
Pathology89,91
Pathology54,70
Pathology28,69
Pathology74,120
Pathology86,119
Pathology9,86
Pathology42,78
Pathology58,78
Pathology27,73
Pathology56,76
Pathology98,113
Pathology68,97
Pathology70,112
Pathology76,113
Pathology85,118
Pathology75,103
Pathology92,107
Pathology39,67
Pathology26,68
Pathology22,65
Pathology51,71
Pathology96,113
Pathology36,67
Pathology84,114
Pathology12,69
Pathology59,60
Pathology8,70
Pathology5,65
Pathology4,60
Pathology49,78
Pathology24,65
Pathology1,75
Pathology52,71
Pathology93,99
Pathology69,111
Pathology2,79
Pathology73,105
Pathology72,116
Pathology15,77
Pathology71,113
Pathology94,115
Pathology61,122
Pathology81,99
Pathology90,127
Pathology91,108
Pathology46,66
Pathology30,64
Pathology65,107
Pathology18,69
Pathology82,113
Pathology13,76
Pathology19,62
Pathology66,85
Pathology43,71
Pathology14,79
Pathology29,83
Pathology25,81
Pathology11,74
Pathology32,62
Pathology53,67
Pathology35,64
Pathology21,79
Pathology78,114
Pathology38,62
Pathology62,115
Pathology67,108
Pathology87,110
Pathology34,67
Pathology47,70
Pathology33,80
Pathology57,75
Pathology63,114
Pathology99,106
Pathology80,111
Pathology23,75
Pathology97,104
Pathology7,83
Pathology3,70
Pathology60,72
Pathology50,76
Pathology44,73
Pathology64,102
