⚠️ Ceci est un exemple de fichier CSV généré par une vue SQL. Ce fichier ne contient que des informations fictives. Ce fichier ne contient aucune donnée sensible quelle qu'elle soit.

PATHOLOGY,AVG_AGE
Pathology16,42.307692
Pathology40,50.700000
Pathology70,43.100000
Pathology76,45.111111
Pathology18,54.875000
Pathology43,38.214286
Pathology8,49.315789
Pathology57,46.571429
Pathology1,50.384615
Pathology88,45.666667
Pathology35,44.833333
Pathology90,58.647059
Pathology26,43.800000
Pathology99,36.142857
Pathology36,48.300000
Pathology44,53.833333
Pathology19,52.076923
Pathology11,49.083333
Pathology2,49.357143
Pathology5,67.400000
Pathology23,57.833333
Pathology66,40.000000
Pathology49,57.500000
Pathology33,43.666667
Pathology55,60.727273
Pathology85,47.500000
Pathology58,37.428571
Pathology81,40.571429
Pathology75,43.916667
Pathology31,36.636364
Pathology3,58.687500
Pathology37,48.818182
Pathology83,59.058824
Pathology9,54.529412
Pathology27,54.166667
Pathology6,54.444444
Pathology94,40.615385
Pathology54,52.888889
Pathology34,52.500000
Pathology46,55.000000
Pathology62,51.625000
Pathology89,53.714286
Pathology73,65.909091
Pathology71,46.714286
Pathology72,44.000000
Pathology56,52.083333
Pathology53,59.000000
Pathology63,64.500000
Pathology17,57.333333
Pathology77,48.833333
Pathology38,52.750000
Pathology74,46.350000
Pathology92,54.714286
Pathology15,65.250000
Pathology32,56.545455
Pathology86,64.375000
Pathology25,40.090909
Pathology39,44.800000
Pathology13,54.785714
Pathology87,64.888889
Pathology4,57.416667
Pathology41,59.666667
Pathology97,56.166667
Pathology91,51.545455
Pathology22,41.714286
Pathology93,42.250000
Pathology10,37.800000
Pathology78,40.750000
Pathology60,50.500000
Pathology96,61.375000
Pathology24,57.400000
Pathology50,43.333333
Pathology47,35.875000
Pathology69,51.909091
Pathology61,50.000000
Pathology59,61.818182
Pathology95,50.181818
Pathology67,60.454545
Pathology84,44.769231
Pathology52,57.727273
Pathology64,64.750000
Pathology28,52.384615
Pathology82,60.538462
Pathology12,51.888889
Pathology20,50.384615
Pathology7,56.533333
Pathology42,51.923077
Pathology98,46.583333
Pathology51,45.750000
Pathology79,59.250000
Pathology21,54.833333
Pathology45,55.333333
Pathology68,61.857143
Pathology14,53.000000
Pathology65,50.133333
Pathology29,56.800000
Pathology48,53.384615
Pathology30,50.454545
Pathology80,46.846154
