⚠️ Ceci est un exemple de fichier CSV généré par une vue SQL. Ce fichier ne contient que des informations fictives. Ce fichier ne contient aucune donnée sensible quelle qu'elle soit.


PATHOLOGY,DOCTOR_ID,NB_DIAGNOSTICS
Pathology47,2,1
Pathology40,2,1
Pathology83,2,1
Pathology95,2,1
Pathology88,2,1
Pathology1,2,2
Pathology4,2,1
Pathology37,3,1
Pathology56,3,1
Pathology31,3,1
Pathology17,3,1
Pathology45,3,1
Pathology73,3,1
Pathology10,4,1
Pathology3,5,1
Pathology97,7,1
Pathology36,9,2
Pathology38,9,1
Pathology71,17,1
Pathology94,25,1
Pathology6,28,1
Pathology68,43,1
Pathology42,7,1
Pathology48,7,1
Pathology84,4,1
Pathology51,21,1
Pathology20,11,1
Pathology82,26,1
Pathology16,52,1
Pathology57,75,1
Pathology90,7,1
Pathology43,25,1
Pathology16,24,1
Pathology26,5,1
Pathology68,11,2
Pathology63,15,1
Pathology98,2,1
Pathology58,74,1
Pathology75,90,1
Pathology37,2,1
Pathology3,33,1
Pathology11,4,1
Pathology79,9,1
Pathology10,3,1
Pathology13,7,1
Pathology70,28,1
Pathology90,9,1
Pathology77,26,1
Pathology80,3,1
Pathology9,17,1
Pathology28,33,1
Pathology55,67,1
Pathology63,18,1
Pathology49,12,1
Pathology23,26,2
Pathology98,28,1
Pathology8,7,1
Pathology29,11,1
Pathology10,73,1
Pathology86,3,1
Pathology12,21,1
Pathology49,33,1
Pathology83,75,1
Pathology58,8,1
Pathology52,2,1
Pathology6,12,1
Pathology71,18,1
Pathology56,26,1
Pathology90,12,1
Pathology29,16,1
Pathology99,9,1
Pathology59,5,1
Pathology18,9,1
Pathology10,11,1
Pathology13,11,1
Pathology77,24,1
Pathology10,25,1
Pathology3,4,1
Pathology65,5,1
Pathology29,25,1
Pathology31,28,1
Pathology52,28,1
Pathology32,75,1
Pathology48,2,1
Pathology17,9,1
Pathology40,3,1
Pathology31,24,1
Pathology45,5,1
Pathology90,25,2
Pathology89,31,1
Pathology4,92,1
Pathology74,11,1
Pathology41,5,1
Pathology17,5,1
Pathology6,21,1
Pathology35,31,1
Pathology94,3,1
Pathology17,4,1
Pathology87,4,1
Pathology25,4,1
Pathology56,5,1
Pathology92,7,1
Pathology85,52,2
Pathology4,4,1
Pathology43,4,1
Pathology12,4,1
Pathology11,5,1
Pathology83,11,1
Pathology46,12,1
Pathology2,25,1
Pathology42,92,1
Pathology94,50,1
Pathology53,17,1
Pathology80,16,1
Pathology41,18,1
Pathology12,17,1
Pathology66,3,1
Pathology55,21,1
Pathology56,12,1
Pathology75,17,1
Pathology76,25,1
Pathology64,26,1
Pathology42,43,1
Pathology16,59,1
Pathology1,17,1
Pathology9,28,1
Pathology61,3,1
Pathology58,18,1
Pathology90,24,1
Pathology29,62,1
Pathology76,97,1
Pathology50,5,1
Pathology26,16,1
Pathology22,16,2
Pathology43,37,1
Pathology2,17,1
Pathology19,72,1
Pathology59,33,1
Pathology74,92,1
Pathology95,97,1
Pathology34,97,1
Pathology48,13,1
Pathology72,37,1
Pathology45,57,1
Pathology3,74,1
Pathology65,30,2
Pathology51,30,1
Pathology90,61,1
Pathology19,18,1
Pathology34,5,1
Pathology76,17,1
Pathology27,16,1
Pathology31,25,1
Pathology19,16,1
Pathology75,52,1
Pathology50,57,1
Pathology57,16,1
Pathology74,26,2
Pathology87,61,2
Pathology91,25,1
Pathology35,28,2
Pathology23,33,1
Pathology61,26,1
Pathology48,16,1
Pathology48,33,1
Pathology41,42,1
Pathology43,42,1
Pathology22,61,1
Pathology71,13,1
Pathology20,15,1
Pathology8,74,1
Pathology2,90,1
Pathology8,22,1
Pathology19,47,1
Pathology38,68,1
Pathology47,59,1
Pathology28,6,2
Pathology67,79,2
Pathology11,97,1
Pathology11,72,1
Pathology8,38,1
Pathology90,15,1
Pathology20,72,1
Pathology23,19,1
Pathology65,90,1
Pathology25,19,1
Pathology7,36,1
Pathology74,83,1
Pathology57,96,1
Pathology25,28,1
Pathology16,45,1
Pathology18,7,1
Pathology57,2,1
Pathology3,3,1
Pathology94,39,1
Pathology69,7,1
Pathology78,57,1
Pathology56,28,1
Pathology27,2,1
Pathology95,7,1
Pathology4,25,1
Pathology74,12,1
Pathology39,17,1
Pathology14,18,1
Pathology13,26,1
Pathology98,43,1
Pathology23,25,2
Pathology17,92,1
Pathology9,7,1
Pathology78,24,1
Pathology91,26,1
Pathology43,24,1
Pathology90,4,1
Pathology89,5,1
Pathology91,15,1
Pathology26,43,1
Pathology40,18,1
Pathology45,42,1
Pathology15,43,1
Pathology49,78,1
Pathology50,33,1
Pathology20,42,1
Pathology4,43,1
Pathology57,43,1
Pathology66,78,1
Pathology2,97,1
Pathology24,15,1
Pathology72,57,1
Pathology95,50,1
Pathology29,22,1
Pathology94,98,1
Pathology37,58,1
Pathology30,62,1
Pathology32,10,1
Pathology29,44,1
Pathology86,17,1
Pathology77,21,1
Pathology60,57,1
Pathology65,9,2
Pathology9,74,1
Pathology4,12,1
Pathology46,16,1
Pathology40,17,1
Pathology60,31,1
Pathology58,42,1
Pathology74,19,1
Pathology59,50,1
Pathology5,12,1
Pathology14,21,1
Pathology37,25,1
Pathology20,28,1
Pathology90,28,1
Pathology7,31,1
Pathology92,31,1
Pathology20,7,2
Pathology54,5,1
Pathology20,9,1
Pathology32,11,1
Pathology96,78,2
Pathology96,24,1
Pathology27,5,1
Pathology40,9,1
Pathology8,9,1
Pathology40,31,1
Pathology16,33,1
Pathology81,52,1
Pathology36,72,1
Pathology44,9,1
Pathology20,17,1
Pathology10,18,1
Pathology57,21,1
Pathology93,24,1
Pathology7,28,1
Pathology25,31,1
Pathology49,28,1
Pathology98,9,1
Pathology88,39,1
Pathology62,31,1
Pathology35,33,1
Pathology82,33,1
Pathology86,42,1
Pathology31,42,1
Pathology9,42,1
Pathology75,43,1
Pathology84,52,1
Pathology24,61,1
Pathology45,61,1
Pathology81,61,1
Pathology33,61,1
Pathology25,61,1
Pathology58,62,1
Pathology55,62,1
Pathology47,62,1
Pathology36,67,2
Pathology25,67,1
Pathology45,75,2
Pathology35,75,1
Pathology15,97,1
Pathology46,97,2
Pathology86,97,1
Pathology30,13,1
Pathology61,13,1
Pathology12,13,1
Pathology84,15,1
Pathology41,15,1
Pathology34,15,1
Pathology98,37,1
Pathology9,37,1
Pathology46,37,1
Pathology28,37,1
Pathology91,57,1
Pathology89,72,2
Pathology18,74,1
Pathology5,74,1
Pathology88,58,1
Pathology17,58,1
Pathology97,59,1
Pathology32,59,1
Pathology46,19,1
Pathology3,20,1
Pathology10,20,2
Pathology14,20,1
Pathology91,39,1
Pathology83,39,2
Pathology67,50,1
Pathology52,90,1
Pathology81,90,1
Pathology62,90,1
Pathology57,22,1
Pathology46,22,2
Pathology1,38,1
Pathology2,47,1
Pathology15,66,2
Pathology8,66,1
Pathology38,66,1
Pathology90,68,1
Pathology54,95,1
Pathology14,30,1
Pathology95,45,1
Pathology89,93,1
Pathology4,93,1
Pathology74,97,1
Pathology82,72,2
Pathology34,74,1
Pathology29,74,1
Pathology16,58,1
Pathology43,39,1
Pathology89,66,1
Pathology49,95,1
Pathology45,93,1
Pathology43,45,1
Pathology34,8,1
Pathology75,41,1
Pathology54,44,1
Pathology74,49,1
Pathology77,53,1
Pathology49,53,1
Pathology50,60,1
Pathology25,60,1
Pathology5,55,2
Pathology4,55,1
Pathology12,55,1
Pathology38,86,1
Pathology91,6,1
Pathology41,6,1
Pathology40,23,1
Pathology24,71,1
Pathology24,14,1
Pathology7,14,1
Pathology21,14,1
