⚠️ Ceci est un exemple de fichier CSV généré par une vue SQL. Ce fichier ne contient que des informations fictives. Ce fichier ne contient aucune donnée sensible quelle qu'elle soit.


PATHOLOGY,NUM_ROOMS
Pathology40,10
Pathology83,17
Pathology95,11
Pathology88,6
Pathology37,8
Pathology31,8
Pathology17,9
Pathology45,14
Pathology41,11
Pathology79,8
Pathology16,9
Pathology6,5
Pathology10,10
Pathology48,8
Pathology20,9
Pathology77,12
Pathology55,8
Pathology89,7
Pathology54,5
Pathology28,9
Pathology74,17
Pathology86,8
Pathology9,13
Pathology42,10
Pathology58,10
Pathology27,8
Pathology56,4
Pathology98,12
Pathology68,7
Pathology70,10
Pathology76,9
Pathology85,8
Pathology75,12
Pathology92,7
Pathology39,4
Pathology26,6
Pathology22,5
Pathology51,6
Pathology96,8
Pathology36,5
Pathology84,13
Pathology12,7
Pathology59,9
Pathology8,15
Pathology5,8
Pathology4,7
Pathology49,5
Pathology24,6
Pathology1,8
Pathology52,9
Pathology93,4
Pathology69,11
Pathology2,8
Pathology15,4
Pathology73,11
Pathology72,3
Pathology71,7
Pathology94,13
Pathology61,10
Pathology81,7
Pathology90,17
Pathology91,11
Pathology46,10
Pathology30,4
Pathology65,14
Pathology18,8
Pathology82,12
Pathology13,10
Pathology19,9
Pathology78,8
Pathology66,7
Pathology43,9
Pathology14,7
Pathology29,8
Pathology25,6
Pathology11,9
Pathology32,6
Pathology53,4
Pathology35,8
Pathology21,5
Pathology38,8
Pathology62,7
Pathology67,11
Pathology87,9
Pathology34,7
Pathology47,4
Pathology33,3
Pathology57,9
Pathology63,10
Pathology99,7
Pathology80,13
Pathology23,13
Pathology97,6
Pathology7,10
Pathology3,12
Pathology60,4
Pathology50,8
Pathology44,6
Pathology64,6
