⚠️ Ceci est un exemple de fichier CSV généré par une vue SQL. Ce fichier ne contient que des informations fictives. Ce fichier ne contient aucune donnée sensible quelle qu'elle soit.


PATHOLOGY,MEDICATION_ID,TOTAL_QUANTITY
Pathology78,1225,7
Pathology41,163,3
Pathology41,1723,3
Pathology41,243,3
Pathology41,1266,3
Pathology41,422,3
Pathology41,875,3
Pathology41,1682,3
Pathology94,1623,6
Pathology29,1513,3
Pathology29,890,3
Pathology29,493,3
Pathology29,1166,3
Pathology29,1542,3
Pathology29,1158,3
Pathology29,910,3
Pathology29,1646,3
Pathology29,1707,3
Pathology29,1645,3
Pathology40,508,3
Pathology40,1977,3
Pathology40,890,3
Pathology40,295,3
Pathology40,49,3
Pathology40,1450,3
Pathology40,301,3
Pathology40,1133,3
Pathology40,587,3
Pathology40,955,3
Pathology40,1283,3
Pathology40,353,3
Pathology40,1191,3
Pathology40,238,3
Pathology40,1558,3
Pathology40,463,3
Pathology40,1201,3
Pathology42,75,3
Pathology42,828,3
Pathology42,1062,3
Pathology42,1221,3
Pathology42,605,3
Pathology42,1573,3
Pathology42,1343,3
Pathology42,1635,3
Pathology42,900,3
Pathology42,1005,3
Pathology42,1084,3
Pathology44,524,3
Pathology44,1713,3
Pathology44,1712,3
Pathology44,35,3
Pathology44,1942,3
Pathology44,1789,3
Pathology44,979,3
Pathology44,747,3
Pathology44,1536,3
Pathology44,12,3
Pathology44,1512,3
Pathology44,1113,3
Pathology91,1380,3
Pathology91,1749,3
Pathology91,1499,3
Pathology91,1511,3
Pathology91,1964,3
Pathology91,1970,3
Pathology91,1289,3
Pathology91,1162,3
Pathology91,1213,3
Pathology49,1176,3
Pathology49,1470,3
Pathology49,1869,3
Pathology49,58,3
Pathology49,320,3
Pathology18,686,3
Pathology18,238,3
Pathology18,1669,3
Pathology18,1477,3
Pathology18,635,3
Pathology18,1767,3
Pathology18,1991,3
Pathology38,693,3
Pathology38,285,3
Pathology38,1692,3
Pathology38,255,3
Pathology38,486,3
Pathology38,481,3
Pathology50,251,3
Pathology50,1415,3
Pathology50,1374,3
Pathology50,767,3
Pathology50,66,3
Pathology50,704,3
Pathology50,1504,3
Pathology86,325,3
Pathology86,1204,3
Pathology86,1126,3
Pathology86,1155,3
Pathology71,1113,5
Pathology87,1091,3
Pathology87,603,3
Pathology87,1165,3
Pathology87,1247,3
Pathology87,1213,3
Pathology87,1702,3
Pathology65,1113,21
Pathology65,2,21
Pathology70,1335,10
Pathology10,114,3
Pathology10,1461,3
Pathology10,177,3
Pathology10,1747,3
Pathology10,1763,3
Pathology10,1455,3
Pathology10,872,3
Pathology10,460,3
Pathology10,8,3
Pathology10,757,3
Pathology10,306,3
Pathology10,1664,3
Pathology10,484,3
Pathology46,80,3
Pathology46,558,3
Pathology46,348,3
Pathology46,233,3
Pathology46,227,3
Pathology46,1122,3
Pathology46,979,3
Pathology46,107,3
Pathology63,1113,13
Pathology5,1199,3
Pathology5,1093,3
Pathology5,659,3
Pathology5,1211,3
Pathology5,421,3
Pathology5,1775,3
Pathology37,571,3
Pathology37,208,3
Pathology37,1786,3
Pathology37,846,3
Pathology37,1881,3
Pathology37,1154,3
Pathology37,915,3
Pathology37,309,3
Pathology37,1152,3
Pathology37,301,3
Pathology37,801,3
Pathology37,1175,3
Pathology37,1323,3
Pathology76,1779,6
Pathology51,205,3
Pathology51,1362,3
Pathology51,1727,3
Pathology51,1417,3
Pathology1,490,3
Pathology1,670,3
Pathology1,1396,3
Pathology1,1348,3
Pathology1,1244,3
Pathology1,26,3
Pathology1,1212,3
Pathology1,461,3
Pathology1,316,3
Pathology1,1592,3
Pathology1,849,3
Pathology13,693,3
Pathology13,1103,3
Pathology13,1048,3
Pathology13,970,3
Pathology13,1460,3
Pathology13,463,3
Pathology31,961,3
Pathology31,1088,3
Pathology31,726,3
Pathology31,1896,3
Pathology31,916,3
Pathology31,234,3
Pathology31,1166,3
Pathology23,1497,3
Pathology23,1288,3
Pathology23,1360,3
Pathology23,1554,3
Pathology23,1701,3
Pathology23,1126,3
Pathology92,1606,3
Pathology92,1683,3
Pathology92,1436,3
Pathology92,1882,3
Pathology92,1680,3
Pathology92,1954,3
Pathology73,1280,5
Pathology88,780,5
