PATHOLOGY,DOCTOR_ID,NB_DIAGNOSTICS
Pathology16,33,350
Pathology40,35,700
Pathology16,45,700
Pathology2,93,1400
Pathology76,63,700
Pathology16,41,1050
Pathology18,96,700
Pathology43,84,1750
Pathology55,38,700
Pathology57,16,700
Pathology1,10,1400
Pathology20,15,700
Pathology26,38,700
Pathology15,43,350
Pathology44,73,350
Pathology68,11,1400
Pathology47,2,1050
Pathology99,93,700
Pathology84,15,1050
Pathology19,16,700
Pathology15,66,700
Pathology26,42,1400
Pathology86,17,1050
Pathology54,44,1050
Pathology67,59,1400
Pathology49,41,700
Pathology74,8,700
Pathology91,39,700
Pathology46,77,1050
Pathology22,98,700
Pathology11,86,700
Pathology85,32,1400
Pathology69,41,1750
Pathology43,66,700
Pathology87,79,1050
Pathology68,73,1400
Pathology18,19,350
Pathology29,78,1050
Pathology41,42,700
Pathology4,4,700
Pathology5,12,2100
Pathology36,9,700
Pathology68,23,700
Pathology45,36,1750
Pathology97,81,350
Pathology23,33,1050
Pathology62,31,1050
Pathology14,83,700
Pathology87,72,1050
Pathology4,43,1400
Pathology83,34,700
Pathology88,70,350
Pathology70,31,1750
Pathology40,6,350
Pathology59,50,1050
Pathology39,50,1050
Pathology38,86,350
Pathology61,64,350
Pathology81,53,700
Pathology82,85,350
Pathology17,5,1400
Pathology66,3,700
Pathology15,81,700
Pathology98,28,350
Pathology2,63,700
Pathology6,69,700
Pathology19,99,350
Pathology10,18,700
Pathology56,5,1050
Pathology4,72,700
Pathology24,61,700
Pathology57,22,350
Pathology42,53,350
Pathology4,12,1050
Pathology60,57,1050
Pathology19,18,350
Pathology93,24,700
Pathology69,55,1050
Pathology94,59,350
Pathology65,30,1050
Pathology75,90,350
Pathology63,56,350
Pathology96,89,1050
Pathology83,88,1400
Pathology1,38,350
Pathology59,62,350
Pathology40,2,1050
Pathology8,87,700
Pathology26,5,350
Pathology69,7,1050
Pathology45,38,350
Pathology11,8,1050
Pathology35,28,1050
Pathology77,24,350
Pathology84,48,1050
Pathology70,86,1050
Pathology81,51,350
