PATHOLOGY,MEDICATION_ID,TOTAL_QUANTITY
Pathology78,1668,980
Pathology41,574,175
Pathology41,1719,175
Pathology94,1172,245
Pathology29,259,210
Pathology40,301,175
Pathology40,1022,175
Pathology42,1007,245
Pathology44,1113,210
Pathology91,1325,280
Pathology49,1264,210
Pathology49,1618,210
Pathology49,177,210
Pathology18,1855,210
Pathology38,255,210
Pathology50,342,175
Pathology50,117,175
Pathology50,1718,175
Pathology86,1335,350
Pathology71,1147,805
Pathology87,1524,245
Pathology87,1157,245
Pathology87,1935,245
Pathology65,1113,5425
Pathology70,1113,5005
Pathology10,1269,280
Pathology46,1150,210
Pathology63,2,5215
Pathology5,1029,210
Pathology37,1323,315
Pathology76,1336,910
Pathology51,1948,210
Pathology51,1417,210
Pathology1,1007,210
Pathology1,1592,210
Pathology13,1460,210
Pathology13,1084,210
Pathology13,1617,210
Pathology13,92,210
Pathology13,1523,210
Pathology31,37,280
Pathology23,931,210
Pathology23,874,210
Pathology92,1173,210
Pathology92,1683,210
Pathology92,1896,210
Pathology73,1113,805
Pathology88,559,315
Pathology77,1202,700
Pathology80,1158,700
Pathology30,1713,315
Pathology66,1335,3920
Pathology64,1224,5635
Pathology79,1269,665
Pathology8,216,280
Pathology4,1471,210
Pathology4,1755,210
Pathology96,1842,280
Pathology60,1956,210
Pathology69,1113,5075
Pathology3,920,280
Pathology45,377,210
Pathology45,1609,210
Pathology45,1962,210
Pathology45,745,210
Pathology47,1252,175
Pathology6,1370,210
Pathology68,1335,4725
Pathology26,1165,210
Pathology26,1610,210
Pathology17,1181,245
Pathology25,68,210
Pathology53,656,210
Pathology39,1361,175
Pathology39,846,175
Pathology39,1308,175
Pathology39,445,175
Pathology81,181,350
Pathology75,1158,700
Pathology75,1247,700
Pathology48,756,210
Pathology48,813,210
Pathology90,392,315
Pathology34,30,210
Pathology74,3,700
Pathology72,2,875
Pathology32,1018,175
Pathology32,999,175
Pathology20,1984,210
Pathology59,981,210
Pathology59,232,210
Pathology33,492,245
Pathology83,1154,350
Pathology54,350,210
Pathology54,1684,210
Pathology54,1092,210
Pathology97,1172,210
Pathology97,1385,210
Pathology19,1616,210
Pathology21,25,210
Pathology21,1528,210
Pathology21,1099,210
Pathology2,537,210
Pathology56,1429,210
Pathology12,1422,175
Pathology99,336,210
Pathology89,1247,280
Pathology89,1580,280
Pathology84,1291,385
Pathology67,1113,4830
Pathology15,1436,210
Pathology43,404,210
Pathology27,1887,210
Pathology27,1946,210
Pathology95,780,210
Pathology95,1460,210
Pathology95,1269,210
Pathology35,684,210
Pathology7,460,175
Pathology7,1674,175
Pathology7,1781,175
Pathology82,1236,280
Pathology82,1813,280
Pathology16,243,280
Pathology57,1097,245
Pathology9,1217,210
Pathology9,212,210
Pathology93,1581,280
Pathology58,1209,210
Pathology52,1732,210
Pathology52,1694,210
Pathology98,1422,210
Pathology98,1530,210
Pathology98,1740,210
Pathology98,1605,210
Pathology98,1464,210
Pathology98,1531,210
Pathology98,1833,210
Pathology98,1930,210
Pathology98,1688,210
Pathology36,1028,210
Pathology55,1117,210
Pathology55,1906,210
Pathology55,1661,210
Pathology24,203,245
Pathology61,1335,6020
Pathology22,146,175
Pathology85,1172,350
Pathology14,517,315
Pathology11,244,210
Pathology11,1275,210
Pathology62,1224,4935
Pathology28,928,210
